food.glass_jar,1
food.crisp_large,1
food.glass_jar_lid,1
food.pizza_box,1
food.sweetWrappers,2
food.styrofoam_plate,2
food.foodOther,1
food.plasticCutlery,1
food.plasticFoodPackaging,1
food.aluminium_foil,1
food.paperFoodPackaging,1
food.napkins,1
food.crisp_small,1
dumping.small,1
dumping.large,2
dumping.medium,2
industrial.tape,1
industrial.oil,1
industrial.bricks,2
industrial.chemical,1
coastal.rope_medium,1
coastal.degraded_lighters,2
coastal.lego,1
coastal.balloons,2
coastal.fishing_gear_nets,2
coastal.styro_medium,2
coastal.degraded_plasticbottle,1
coastal.styro_small,1
coastal.buoys,1
coastal.rope_large,2
coastal.shotgun_cartridges,1
coastal.styro_large,2
coastal.rope_small,1
coastal.degraded_plasticbag,1
coastal.coastal_other,1
coastal.macroplastics,1
coastal.degraded_straws,1
coastal.mediumplastics,2
coastal.microplastics,1
sanitary.deodorant,1
sanitary.gloves,1
sanitary.wetwipes,1
sanitary.sanitaryOther,1
sanitary.tooth_brush,1
sanitary.tooth_pick,1
sanitary.menstral,1
sanitary.facemask,1
sanitary.condoms,1
sanitary.nappies,1
sanitary.hand_sanitiser,1
alcohol.pint,1
alcohol.paperCardAlcoholPackaging,1
alcohol.six_pack_rings,1
alcohol.plasticAlcoholPackaging,1
alcohol.wineBottle,1
alcohol.bottleTops,1
alcohol.alcohol_plastic_cups,1
alcohol.beerBottle,1
alcohol.brokenGlass,1
alcohol.spiritBottle,1
alcohol.beerCan,1
alcohol.alcoholOther,1
smoking.vape_pen,1
smoking.tobaccoPouch,1
smoking.filterbox,1
smoking.smokingOther,1
smoking.lighters,2
smoking.smoking_plastic,1
smoking.filters,1
smoking.butts,1
smoking.cigaretteBox,1
smoking.skins,1
smoking.vape_oil,1
other.paper,1
other.hair_tie,1
other.elec_large,2
other.tyre,1
other.dump,2
other.dogshit,1
other.elec_small,1
other.books,1
other.washing_up,1
other.election_posters,2
other.overflowing_bins,2
other.ear_plugs,1
other.balloons,1
other.bags_litter,2
other.other,2
other.plastic,1
other.random_litter,1
other.stationary,1
other.metal,1
other.batteries,2
other.cable_tie,1
other.forsale_posters,1
softdrinks.sportsDrink,1
softdrinks.fizzyDrinkBottle,1
softdrinks.milk_bottle,1
softdrinks.ice_tea_can,1
softdrinks.bottleLid,1
softdrinks.juice_cartons,2
softdrinks.straws,1
softdrinks.tinCan,1
softdrinks.juice_packet,1
softdrinks.juice_bottles,2
softdrinks.milk_carton,1
softdrinks.ice_tea_bottles,2
softdrinks.plastic_cups,2
softdrinks.paper_cups,1
softdrinks.energy_can,1
softdrinks.plastic_cup_tops,2
softdrinks.waterBottle,1
softdrinks.bottleLabel,1
coffee.coffeeCups,2
coffee.coffeeOther,1
coffee.coffeeLids,2